2023-01-11 19:12:08,505 - tensorflow - WARNING - Callback method `on_train_batch_end` is slow compared to the batch time (batch time: 0.0267s vs `on_train_batch_end` time: 0.0295s). Check your callbacks.
2023-01-11 19:12:19,288 - root - INFO - Epoch 0; loss: 18.9177303314209; CER: 1.2125358581542969; WER: 1.0; val_loss: 19.09827995300293; val_CER: 1.0; val_WER: 1.0
2023-01-11 19:12:34,601 - root - INFO - Epoch 1; loss: 13.79500675201416; CER: 0.9923665523529053; WER: 1.0; val_loss: 16.506410598754883; val_CER: 0.9941695332527161; val_WER: 1.0
2023-01-11 19:12:49,712 - root - INFO - Epoch 2; loss: 12.977302551269531; CER: 0.8921347856521606; WER: 0.9625287652015686; val_loss: 16.03029441833496; val_CER: 0.9119962453842163; val_WER: 0.9613081812858582
2023-01-11 19:13:04,929 - root - INFO - Epoch 3; loss: 12.133602142333984; CER: 0.8004587888717651; WER: 0.9315075278282166; val_loss: 13.494789123535156; val_CER: 0.810968279838562; val_WER: 0.9157070517539978
2023-01-11 19:13:20,012 - root - INFO - Epoch 4; loss: 11.220760345458984; CER: 0.7321658134460449; WER: 0.89818274974823; val_loss: 14.658913612365723; val_CER: 0.8593237996101379; val_WER: 0.9585444331169128
2023-01-11 19:13:35,210 - root - INFO - Epoch 5; loss: 10.431461334228516; CER: 0.6579289436340332; WER: 0.8385462164878845; val_loss: 9.831277847290039; val_CER: 0.6308050751686096; val_WER: 0.8304928541183472
2023-01-11 19:13:45,419 - root - INFO - Epoch 6; loss: 9.781505584716797; CER: 0.6017369627952576; WER: 0.7946762442588806; val_loss: 9.534174919128418; val_CER: 0.6240798830986023; val_WER: 0.8346384167671204
2023-01-11 19:14:00,640 - root - INFO - Epoch 7; loss: 9.231144905090332; CER: 0.564807653427124; WER: 0.7727668285369873; val_loss: 8.520255088806152; val_CER: 0.5593514442443848; val_WER: 0.7977890372276306
2023-01-11 19:14:15,916 - root - INFO - Epoch 8; loss: 8.66324234008789; CER: 0.5285145044326782; WER: 0.7501407861709595; val_loss: 8.48173999786377; val_CER: 0.5537997484207153; val_WER: 0.7954859733581543
2023-01-11 19:14:26,186 - root - INFO - Epoch 9; loss: 8.160468101501465; CER: 0.4926696717739105; WER: 0.729203999042511; val_loss: 6.962038993835449; val_CER: 0.44263216853141785; val_WER: 0.7001382112503052
2023-01-11 19:14:36,419 - root - INFO - Epoch 10; loss: 7.660650253295898; CER: 0.46405714750289917; WER: 0.710519552230835; val_loss: 6.794951438903809; val_CER: 0.4236229360103607; val_WER: 0.6729617714881897
2023-01-11 19:14:51,584 - root - INFO - Epoch 11; loss: 7.249024391174316; CER: 0.4426977038383484; WER: 0.692551851272583; val_loss: 6.3928399085998535; val_CER: 0.40479445457458496; val_WER: 0.6614463329315186
2023-01-11 19:15:06,679 - root - INFO - Epoch 12; loss: 6.834893226623535; CER: 0.4165571331977844; WER: 0.6769388318061829; val_loss: 8.319886207580566; val_CER: 0.5621277689933777; val_WER: 0.8157531023025513
2023-01-11 19:15:21,868 - root - INFO - Epoch 13; loss: 6.4877729415893555; CER: 0.394647479057312; WER: 0.6603020429611206; val_loss: 5.530264854431152; val_CER: 0.35837164521217346; val_WER: 0.6269000172615051
2023-01-11 19:15:37,164 - root - INFO - Epoch 14; loss: 6.146017551422119; CER: 0.3720206916332245; WER: 0.6422830820083618; val_loss: 5.101114749908447; val_CER: 0.31283271312713623; val_WER: 0.5812989473342896
2023-01-11 19:15:52,408 - root - INFO - Epoch 15; loss: 5.881650924682617; CER: 0.35717251896858215; WER: 0.6311748027801514; val_loss: 4.695602893829346; val_CER: 0.29682064056396484; val_WER: 0.5720865726470947
2023-01-11 19:16:07,564 - root - INFO - Epoch 16; loss: 5.581499099731445; CER: 0.3390448987483978; WER: 0.6136165857315063; val_loss: 5.143697261810303; val_CER: 0.33734506368637085; val_WER: 0.6167664527893066
2023-01-11 19:16:22,684 - root - INFO - Epoch 17; loss: 5.305912494659424; CER: 0.32083866000175476; WER: 0.5972869396209717; val_loss: 6.626276969909668; val_CER: 0.42049798369407654; val_WER: 0.6982957124710083
2023-01-11 19:16:32,844 - root - INFO - Epoch 18; loss: 5.072042465209961; CER: 0.30955326557159424; WER: 0.5854107737541199; val_loss: 5.482728004455566; val_CER: 0.3487776517868042; val_WER: 0.6282818913459778
2023-01-11 19:16:48,013 - root - INFO - Epoch 19; loss: 4.820300102233887; CER: 0.2918788194656372; WER: 0.5699001550674438; val_loss: 4.555724620819092; val_CER: 0.3142848312854767; val_WER: 0.5877475738525391
2023-01-11 19:17:03,157 - root - INFO - Epoch 20; loss: 4.615211009979248; CER: 0.2771730124950409; WER: 0.5562835931777954; val_loss: 5.459573745727539; val_CER: 0.37855085730552673; val_WER: 0.6683555841445923
2023-01-11 19:17:18,394 - root - INFO - Epoch 21; loss: 4.404330730438232; CER: 0.2667076587677002; WER: 0.5429229736328125; val_loss: 3.324599504470825; val_CER: 0.2099768966436386; val_WER: 0.4454168677330017
2023-01-11 19:17:33,627 - root - INFO - Epoch 22; loss: 4.225043773651123; CER: 0.2570132911205292; WER: 0.5334527492523193; val_loss: 3.131922483444214; val_CER: 0.19238242506980896; val_WER: 0.44403499364852905
2023-01-11 19:17:43,770 - root - INFO - Epoch 23; loss: 4.08494758605957; CER: 0.24837513267993927; WER: 0.5209111571311951; val_loss: 3.091480255126953; val_CER: 0.20360982418060303; val_WER: 0.45094427466392517
